Station: Basel-Binningen
Vorstädtisch
Stundenmittelwerte, PREC: Stundensummen
MEZ/CET
Quelle: NABEL/MeteoSchweiz
Datum/Zeit;O3 [ug/m3];NO2 [ug/m3];SO2 [ug/m3];PM10 [ug/m3];PM2.5 [ug/m3];EC [ug/m3];CPC [1/cm3];NOX [ug/m3 eq. NO2];TEMP [C];PREC [mm];RAD [W/m2]
01.01.2014 01:00;7.1;36.7;5.3;35.6;;1.4;17257.8;43.2;0.5;0.0;0.0
01.01.2014 02:00;4.7;35.5;6.3;57.3;;1.5;20101.9;47.1;0.3;0.0;0.0
01.01.2014 03:00;3.1;33.9;3.9;69.1;;1.3;14095.9;42.4;0.2;0.0;0.0
01.01.2014 04:00;1.9;33.8;3.2;48.4;;1.3;13157.1;45.8;0.2;0.1;0.0
01.01.2014 05:00;2.7;33.5;2.8;41.6;;1.2;11711.8;41.0;0.6;0.0;0.0
01.01.2014 06:00;3.0;33.9;3.8;36.0;;1.2;11433.3;41.3;0.7;0.0;0.0
01.01.2014 07:00;3.3;34.4;4.0;36.1;;1.2;11807.6;41.8;1.1;0.0;0.0
01.01.2014 08:00;3.8;34.6;3.7;34.7;;1.1;12582.8;41.9;1.5;0.2;0.0
01.01.2014 09:00;6.0;33.0;3.1;34.2;;1.1;11256.1;39.8;1.8;0.0;3.2
01.01.2014 10:00;8.4;30.1;3.3;31.8;;1.1;13471.0;49.2;2.0;0.0;69.3
01.01.2014 11:00;17.8;23.2;3.9;30.8;;1.0;13135.8;37.7;2.9;0.0;158.5
01.01.2014 12:00;23.9;21.2;3.1;28.6;;0.9;11395.0;32.6;4.0;0.0;173.8
01.01.2014 13:00;32.1;18.2;2.9;23.0;;0.7;10944.7;28.5;5.9;0.0;291.3
01.01.2014 14:00;36.6;17.8;2.4;19.7;;0.6;10706.5;26.7;6.8;0.0;259.0
01.01.2014 15:00;40.6;17.9;2.2;16.2;;0.6;9630.6;24.2;7.4;0.0;205.2
01.01.2014 16:00;42.3;18.6;1.6;13.6;;0.5;7824.2;22.7;7.0;0.0;82.8
01.01.2014 17:00;34.0;26.0;2.5;13.9;;0.6;10395.2;29.4;6.1;0.0;14.3
01.01.2014 18:00;32.4;27.0;1.9;15.7;;0.7;10201.3;29.0;5.8;0.0;0.0
01.01.2014 19:00;30.3;30.5;2.8;15.2;;0.8;11724.8;32.4;5.6;0.0;0.0
01.01.2014 20:00;31.1;28.8;2.9;16.5;;0.8;12363.4;30.5;5.3;0.0;0.0
01.01.2014 21:00;35.9;22.8;1.7;18.4;;0.7;10182.6;23.9;5.2;0.0;0.0
01.01.2014 22:00;34.4;20.8;1.6;17.4;;0.7;9053.1;22.0;5.2;0.0;0.0
01.01.2014 23:00;29.8;21.9;1.7;15.5;;0.7;8495.5;22.9;4.9;0.0;0.0
02.01.2014 00:00;29.7;21.3;1.3;17.0;;0.7;9145.2;22.5;4.8;0.0;0.0
02.01.2014 01:00;33.2;19.0;1.3;13.8;;0.6;7383.2;19.9;4.8;0.0;0.0
02.01.2014 02:00;36.3;15.4;1.1;13.5;;0.6;6336.9;16.3;5.0;0.0;0.0
02.01.2014 03:00;32.4;16.0;1.5;13.5;;0.6;6058.3;17.0;4.5;0.0;0.0
02.01.2014 04:00;27.5;18.4;1.9;12.8;;0.6;6488.3;19.4;4.3;0.1;0.0
02.01.2014 05:00;23.1;22.1;2.5;13.9;;0.7;7358.3;23.3;4.0;0.1;0.0
02.01.2014 06:00;24.3;21.7;2.3;15.4;;0.6;7167.5;23.2;4.1;0.0;0.0
02.01.2014 07:00;14.9;28.9;1.9;14.5;;0.7;8927.0;31.8;3.7;0.8;0.0
02.01.2014 08:00;12.1;33.1;1.4;14.2;;0.7;10891.6;37.3;3.8;0.2;0.0
02.01.2014 09:00;13.9;33.3;1.4;15.2;;0.7;10116.1;38.3;4.1;0.8;1.8
02.01.2014 10:00;19.3;31.5;1.6;13.3;;0.7;10146.7;36.8;4.8;0.1;31.0
02.01.2014 11:00;58.7;10.9;1.6;10.0;;0.2;3219.0;12.5;8.1;0.0;43.2
02.01.2014 12:00;66.1;5.4;0.9;4.2;;0.1;2174.9;6.4;8.9;0.0;84.8
02.01.2014 13:00;65.2;5.3;0.7;2.4;;0.1;1370.2;6.1;9.1;0.0;81.7
02.01.2014 14:00;66.2;6.0;0.8;3.3;;0.1;1910.4;7.2;9.8;0.0;202.5
02.01.2014 15:00;67.8;6.5;0.5;2.4;;0.1;2317.5;7.5;9.1;0.5;65.0
02.01.2014 16:00;;;;3.8;;0.0;1805.9;;7.3;2.0;35.8
02.01.2014 17:00;68.7;6.0;0.2;3.5;;0.1;2637.4;6.7;6.5;0.0;14.2
02.01.2014 18:00;62.5;10.0;0.3;3.5;;0.1;6380.9;10.5;6.2;0.0;0.0
02.01.2014 19:00;43.9;24.6;0.9;3.4;;0.4;12488.9;26.6;6.0;0.0;0.0
02.01.2014 20:00;9.8;62.9;3.6;7.7;;1.0;22817.0;76.7;5.8;0.0;0.0
02.01.2014 21:00;12.2;55.3;2.6;10.8;;1.0;18622.2;63.5;5.8;0.0;0.0
02.01.2014 22:00;5.2;59.7;4.2;11.6;;1.5;19622.7;83.9;5.6;0.0;0.0
02.01.2014 23:00;11.9;43.5;3.1;12.8;;1.2;13335.0;47.4;5.7;0.0;0.0
03.01.2014 00:00;18.4;34.4;1.9;10.9;;0.9;11001.6;36.4;5.3;0.0;0.0
03.01.2014 01:00;27.2;24.3;2.4;10.6;;0.7;9318.7;25.6;5.1;0.0;0.0
03.01.2014 02:00;29.8;20.8;2.3;12.0;;0.5;7810.6;22.0;4.8;0.0;0.0
03.01.2014 03:00;30.3;19.1;1.7;10.0;;0.5;6918.0;20.4;4.6;0.0;0.0
03.01.2014 04:00;26.2;21.7;1.7;10.3;;0.5;7248.5;22.8;4.2;0.0;0.0
03.01.2014 05:00;24.3;24.3;2.0;10.8;;0.5;8744.5;25.6;4.2;0.0;0.0
03.01.2014 06:00;16.5;28.7;1.9;12.7;;0.5;9162.0;31.1;3.5;0.0;0.0
03.01.2014 07:00;11.0;34.9;2.4;13.1;;0.6;10467.2;39.5;3.3;0.0;0.0
03.01.2014 08:00;11.1;37.3;2.3;11.7;;0.5;11844.2;42.7;3.8;0.0;0.0
03.01.2014 09:00;12.8;36.1;2.5;11.4;;0.6;11363.3;43.5;4.2;0.0;6.8
03.01.2014 10:00;13.5;34.9;2.3;11.0;;0.6;11298.0;44.0;4.5;0.0;20.5
03.01.2014 11:00;10.3;37.1;2.3;12.9;;0.7;13293.3;51.5;4.5;0.4;36.2
03.01.2014 12:00;21.1;34.7;2.7;11.8;;0.8;15455.3;56.6;6.7;0.0;61.8
03.01.2014 13:00;14.3;45.3;3.9;11.7;;0.9;21996.0;78.8;7.2;0.0;139.2
03.01.2014 14:00;17.9;42.2;4.1;11.8;;0.8;18215.5;72.1;8.1;0.0;109.7
03.01.2014 15:00;12.3;44.8;4.0;12.3;;1.0;18334.8;78.9;8.0;0.0;105.5
03.01.2014 16:00;5.3;50.7;4.3;13.1;;1.2;19813.8;93.1;7.7;0.0;39.5
03.01.2014 17:00;2.9;54.0;5.2;15.3;;1.3;19908.4;100.3;7.3;0.0;6.7
03.01.2014 18:00;2.0;56.6;5.3;14.5;;1.5;21382.4;108.1;7.4;0.0;0.0
03.01.2014 19:00;21.7;44.1;5.0;15.2;;1.1;18186.0;78.9;8.4;0.0;0.2
03.01.2014 20:00;53.5;16.7;2.6;6.8;;0.2;8183.6;24.0;10.2;0.0;0.0
03.01.2014 21:00;62.8;6.3;1.9;4.5;;0.1;3876.3;7.0;10.5;0.0;0.0
03.01.2014 22:00;53.0;13.6;1.8;4.2;;0.4;8454.9;14.4;9.4;0.0;0.0
03.01.2014 23:00;57.6;10.2;2.0;7.0;;0.2;6919.3;11.0;10.2;0.1;0.0
04.01.2014 00:00;37.2;25.8;2.0;6.8;;0.6;9949.2;37.9;8.3;0.1;0.0
04.01.2014 01:00;6.3;49.1;4.3;7.7;;1.4;14227.5;75.1;7.0;0.0;0.0
04.01.2014 02:00;3.7;48.4;4.6;11.8;;1.3;12981.0;67.9;6.7;0.0;0.0
