"Datum/Zeit";"PM10 (Stundenmittelwerte [µg/m³])";"PM2.5 (Stundenmittelwerte [µg/m³])";"NO2 (Stundenmittelwerte [µg/m³])"
2014-01-01 01:00:00;"";"";"37.282"
2014-01-01 02:00:00;"";"";"36.454"
2014-01-01 03:00:00;"";"";"36.649"
2014-01-01 04:00:00;"";"";"33.269"
2014-01-01 05:00:00;"";"";"32.283"
2014-01-01 06:00:00;"";"";"33.066"
2014-01-01 07:00:00;"";"";"31.973"
2014-01-01 08:00:00;"";"";"33.275"
2014-01-01 09:00:00;"";"";"32.707"
2014-01-01 10:00:00;"";"";"31.683"
2014-01-01 11:00:00;"";"";"30.048"
2014-01-01 12:00:00;"";"";"23.962"
2014-01-01 13:00:00;"";"";"26.545"
2014-01-01 14:00:00;"";"";"24.166"
2014-01-01 15:00:00;"";"";"22.400"
2014-01-01 16:00:00;"";"";"28.192"
2014-01-01 17:00:00;"";"";"42.820"
2014-01-01 18:00:00;"";"";"46.482"
2014-01-01 19:00:00;"";"";"54.634"
2014-01-01 20:00:00;"";"";"36.388"
2014-01-01 21:00:00;"";"";"30.591"
2014-01-01 22:00:00;"";"";"44.915"
2014-01-01 23:00:00;"";"";"50.435"
2014-01-02 00:00:00;"";"";"25.392"
2014-01-02 01:00:00;"";"";"27.691"
2014-01-02 02:00:00;"";"";"31.708"
2014-01-02 03:00:00;"";"";"22.422"
2014-01-02 04:00:00;"";"";"16.026"
2014-01-02 05:00:00;"";"";"15.304"
2014-01-02 06:00:00;"";"";"18.930"
2014-01-02 07:00:00;"";"";"28.318"
2014-01-02 08:00:00;"";"";"44.817"
2014-01-02 09:00:00;"";"";"64.524"
2014-01-02 10:00:00;"";"";"46.890"
2014-01-02 11:00:00;"";"";"47.610"
2014-01-02 12:00:00;"";"";"50.491"
2014-01-02 13:00:00;"";"";"46.648"
2014-01-02 14:00:00;"";"";"26.810"
2014-01-02 15:00:00;"";"";"28.914"
2014-01-02 16:00:00;"";"";"36.237"
2014-01-02 17:00:00;"";"";"24.134"
2014-01-02 18:00:00;"";"";"36.844"
2014-01-02 19:00:00;"";"";"61.437"
2014-01-02 20:00:00;"";"";"100.739"
2014-01-02 21:00:00;"";"";"87.193"
2014-01-02 22:00:00;"";"";"67.575"
2014-01-02 23:00:00;"";"";"50.424"
2014-01-03 00:00:00;"";"";"39.782"
2014-01-03 01:00:00;"";"";"37.097"
2014-01-03 02:00:00;"";"";"31.391"
2014-01-03 03:00:00;"";"";"21.931"
2014-01-03 04:00:00;"";"";"20.988"
2014-01-03 05:00:00;"";"";"20.906"
2014-01-03 06:00:00;"";"";"25.094"
2014-01-03 07:00:00;"";"";"33.525"
2014-01-03 08:00:00;"";"";"43.382"
2014-01-03 09:00:00;"";"";"51.788"
2014-01-03 10:00:00;"";"";"51.334"
2014-01-03 11:00:00;"";"";"50.302"
2014-01-03 12:00:00;"";"";"53.139"
2014-01-03 13:00:00;"";"";"61.796"
2014-01-03 14:00:00;"";"";"55.640"
2014-01-03 15:00:00;"";"";"59.730"
2014-01-03 16:00:00;"";"";"60.422"
2014-01-03 17:00:00;"";"";"62.667"
2014-01-03 18:00:00;"";"";"56.847"
2014-01-03 19:00:00;"";"";"65.654"
2014-01-03 20:00:00;"";"";"79.242"
2014-01-03 21:00:00;"";"";"64.855"
2014-01-03 22:00:00;"";"";"65.159"
2014-01-03 23:00:00;"";"";"69.211"
2014-01-04 00:00:00;"";"";"64.400"
2014-01-04 01:00:00;"";"";"61.787"
2014-01-04 02:00:00;"";"";"45.933"
2014-01-04 03:00:00;"";"";"41.123"
2014-01-04 04:00:00;"";"";"38.464"
2014-01-04 05:00:00;"";"";"33.980"
2014-01-04 06:00:00;"";"";"30.807"
2014-01-04 07:00:00;"";"";"32.350"
2014-01-04 08:00:00;"";"";"31.065"
2014-01-04 09:00:00;"";"";"31.921"
2014-01-04 10:00:00;"";"";"40.558"
2014-01-04 11:00:00;"";"";"34.875"
2014-01-04 12:00:00;"";"";"36.189"
2014-01-04 13:00:00;"";"";"59.101"
2014-01-04 14:00:00;"";"";"59.690"
