"timestamp";"PM10";"PM2.5";"O3";"NO2"
2014-01-01 01:00:00;"26.719";"";"10.247";"33.710"
2014-01-01 02:00:00;"67.560";"";"4.997";"34.824"
2014-01-01 03:00:00;"235.571";"";"3.856";"34.023"
2014-01-01 04:00:00;"58.981";"";"5.122";"30.183"
2014-01-01 05:00:00;"46.261";"";"3.580";"30.131"
2014-01-01 06:00:00;"31.970";"";"4.940";"30.316"
2014-01-01 07:00:00;"28.523";"";"6.530";"29.336"
2014-01-01 08:00:00;"30.878";"";"8.540";"28.302"
2014-01-01 09:00:00;"29.113";"";"6.998";"29.831"
2014-01-01 10:00:00;"28.634";"";"5.742";"30.101"
2014-01-01 11:00:00;"32.429";"";"10.012";"25.544"
2014-01-01 12:00:00;"27.838";"";"19.858";"20.193"
2014-01-01 13:00:00;"23.110";"";"28.006";"18.290"
2014-01-01 14:00:00;"20.146";"";"34.117";"16.864"
2014-01-01 15:00:00;"17.614";"";"39.357";"14.827"
2014-01-01 16:00:00;"14.537";"";"43.574";"15.925"
2014-01-01 17:00:00;"13.962";"";"45.346";"17.026"
2014-01-01 18:00:00;"12.801";"";"33.493";"26.754"
2014-01-01 19:00:00;"13.023";"";"30.749";"29.517"
2014-01-01 20:00:00;"12.153";"";"42.760";"20.400"
2014-01-01 21:00:00;"11.463";"";"41.471";"21.346"
2014-01-01 22:00:00;"12.771";"";"38.074";"22.949"
2014-01-01 23:00:00;"11.872";"";"34.163";"21.788"
2014-01-02 00:00:00;"13.026";"";"35.262";"19.727"
2014-01-02 01:00:00;"13.780";"";"35.085";"17.698"
2014-01-02 02:00:00;"13.696";"";"29.956";"19.396"
2014-01-02 03:00:00;"15.075";"";"30.805";"18.923"
2014-01-02 04:00:00;"14.180";"";"32.625";"14.004"
2014-01-02 05:00:00;"15.882";"";"32.183";"12.530"
2014-01-02 06:00:00;"15.908";"";"29.330";"14.698"
2014-01-02 07:00:00;"14.714";"";"20.748";"22.730"
2014-01-02 08:00:00;"16.215";"";"14.458";"30.090"
2014-01-02 09:00:00;"16.444";"";"10.580";"35.130"
2014-01-02 10:00:00;"13.883";"";"6.159";"40.733"
2014-01-02 11:00:00;"16.405";"";"8.292";"40.356"
2014-01-02 12:00:00;"13.753";"";"14.293";"43.409"
2014-01-02 13:00:00;"10.625";"";"33.312";"37.059"
2014-01-02 14:00:00;"4.746";"";"52.198";"19.090"
2014-01-02 15:00:00;"2.336";"";"56.390";"14.697"
2014-01-02 16:00:00;"2.579";"";"55.352";"18.535"
2014-01-02 17:00:00;"1.992";"";"66.821";"11.552"
2014-01-02 18:00:00;"1.992";"";"49.829";"26.073"
2014-01-02 19:00:00;"2.998";"";"27.239";"46.297"
2014-01-02 20:00:00;"7.105";"";"4.715";"68.198"
2014-01-02 21:00:00;"11.725";"";"1.762";"75.493"
2014-01-02 22:00:00;"13.648";"";"1.923";"67.288"
2014-01-02 23:00:00;"13.685";"";"9.481";"49.125"
2014-01-03 00:00:00;"11.501";"";"21.686";"33.898"
2014-01-03 01:00:00;"10.907";"";"25.338";"28.065"
2014-01-03 02:00:00;"10.150";"";"27.409";"22.097"
2014-01-03 03:00:00;"10.573";"";"28.811";"17.680"
2014-01-03 04:00:00;"11.716";"";"31.648";"13.747"
2014-01-03 05:00:00;"11.706";"";"31.038";"13.896"
2014-01-03 06:00:00;"11.304";"";"31.173";"16.217"
2014-01-03 07:00:00;"11.002";"";"15.632";"30.554"
2014-01-03 08:00:00;"10.243";"";"21.042";"26.466"
2014-01-03 09:00:00;"10.094";"";"18.581";"32.465"
2014-01-03 10:00:00;"9.684";"";"15.000";"34.842"
2014-01-03 11:00:00;"11.722";"";"7.753";"41.396"
2014-01-03 12:00:00;"11.980";"";"6.815";"41.604"
2014-01-03 13:00:00;"10.442";"";"8.086";"44.416"
2014-01-03 14:00:00;"9.600";"";"13.844";"41.758"
2014-01-03 15:00:00;"11.227";"";"12.132";"42.415"
2014-01-03 16:00:00;"14.339";"";"7.928";"45.726"
2014-01-03 17:00:00;"14.350";"";"4.234";"45.991"
2014-01-03 18:00:00;"14.974";"";"2.444";"46.610"
2014-01-03 19:00:00;"15.388";"";"1.830";"52.697"
2014-01-03 20:00:00;"15.413";"";"2.099";"56.478"
2014-01-03 21:00:00;"14.569";"";"1.778";"61.368"
2014-01-03 22:00:00;"15.035";"";"1.748";"60.135"
2014-01-03 23:00:00;"16.976";"";"2.642";"56.471"
2014-01-04 00:00:00;"16.942";"";"1.621";"57.112"
2014-01-04 01:00:00;"18.160";"";"1.465";"56.453"
2014-01-04 02:00:00;"19.792";"";"1.179";"46.108"
2014-01-04 03:00:00;"19.961";"";"1.052";"41.606"
2014-01-04 04:00:00;"16.413";"";"1.656";"37.556"
2014-01-04 05:00:00;"14.010";"";"3.252";"31.873"
2014-01-04 06:00:00;"13.648";"";"7.737";"28.398"
2014-01-04 07:00:00;"11.464";"";"12.023";"29.419"
2014-01-04 08:00:00;"10.677";"";"20.931";"25.092"
2014-01-04 09:00:00;"12.011";"";"23.938";"21.303"
2014-01-04 10:00:00;"12.703";"";"19.989";"27.238"
2014-01-04 11:00:00;"12.423";"";"21.690";"24.875"
2014-01-04 12:00:00;"11.801";"";"21.614";"26.374"
2014-01-04 13:00:00;"12.916";"";"19.889";"27.666"
2014-01-04 14:00:00;"13.488";"";"8.705";"44.018"
2014-01-04 15:00:00;"14.446";"";"6.716";"45.986"
2014-01-04 16:00:00;"11.781";"";"18.161";"36.664"
2014-01-04 17:00:00;"9.988";"";"22.284";"40.527"
2014-01-04 18:00:00;"7.946";"";"29.494";"38.262"
2014-01-04 19:00:00;"6.642";"";"25.043";"43.955"
2014-01-04 20:00:00;"7.254";"";"38.769";"27.208"
2014-01-04 21:00:00;"4.238";"";"35.511";"27.463"
2014-01-04 22:00:00;"6.278";"";"26.206";"31.604"
2014-01-04 23:00:00;"6.765";"";"18.164";"40.754"
